cdm_id,fy1c_norad_id,other_norad_id,other_name,other_type,miss_distance_km,collision_probability,fy_perigee,fy_apogee,fy_inclination,other_perigee,other_apogee,other_inclination,other_country
1410583016,30331,29299,METEOR 2-17 DEB,DEBRIS,78.0,0.0002040586,831.476,969.858,98.9348,847.518,895.096,82.5302,CIS
1411756242,30331,29299,METEOR 2-17 DEB,DEBRIS,80.0,0.0001993699,831.476,969.858,98.9348,847.518,895.096,82.5302,CIS
1409855240,30331,29299,METEOR 2-17 DEB,DEBRIS,67.0,0.0002168007,831.476,969.858,98.9348,847.518,895.096,82.5302,CIS
1409854163,29896,6828,COSMOS 586,PAYLOAD,178.0,0.0001955375,838.011,1193.316,99.41,960.821,999.867,82.9434,CIS
1410582018,29896,6828,COSMOS 586,PAYLOAD,128.0,0.0008355712,838.011,1193.316,99.41,960.821,999.867,82.9434,CIS
1413625141,29896,6828,COSMOS 586,PAYLOAD,181.0,0.0006224346,838.011,1193.316,99.41,960.821,999.867,82.9434,CIS
1412894225,29896,6828,COSMOS 586,PAYLOAD,186.0,0.0006083913,838.011,1193.316,99.41,960.821,999.867,82.9434,CIS
1411755153,29896,6828,COSMOS 586,PAYLOAD,212.0,0.000395722,838.011,1193.316,99.41,960.821,999.867,82.9434,CIS
1411083233,29896,6828,COSMOS 586,PAYLOAD,184.0,0.0004691925,838.011,1193.316,99.41,960.821,999.867,82.9434,CIS
1410594384,36724,25320,IRIDIUM 71,PAYLOAD,172.0,0.0001722178,728.489,878.614,99.4567,750.691,756.769,86.3944,US
1412896879,30847,29841,FENGYUN 1C DEB,DEBRIS,269.0,0.0001071509,787.043,876.457,98.7435,594.513,876.375,98.839,PRC
1414862811,37406,25893,SL-8 R/B,ROCKET BODY,150.0,0.0009633788,770.148,984.724,98.4327,953.649,996.581,82.9233,CIS
1413622763,30259,409,THOR ABLESTAR DEB,DEBRIS,421.0,0.0001005673,547.793,889.883,98.7475,747.753,843.032,66.7114,US
1413625268,29926,7715,SL-3 R/B,ROCKET BODY,105.0,0.001197735,602.355,956.09,98.2973,832.737,905.134,81.2207,CIS
1414967412,29926,7715,SL-3 R/B,ROCKET BODY,38.0,0.002598364,602.355,956.09,98.2973,832.737,905.134,81.2207,CIS
1415290535,29926,7715,SL-3 R/B,ROCKET BODY,15.0,0.002620547,602.355,956.09,98.2973,832.737,905.134,81.2207,CIS
1416544281,29926,7715,SL-3 R/B,ROCKET BODY,59.0,0.004599319,602.355,956.09,98.2973,832.737,905.134,81.2207,CIS
1416013237,29926,7715,SL-3 R/B,ROCKET BODY,64.0,0.003934478,602.355,956.09,98.2973,832.737,905.134,81.2207,CIS
1411083296,29926,7715,SL-3 R/B,ROCKET BODY,446.0,0.000174025,602.355,956.09,98.2973,832.737,905.134,81.2207,CIS
1411755219,29926,7715,SL-3 R/B,ROCKET BODY,426.0,0.0002017483,602.355,956.09,98.2973,832.737,905.134,81.2207,CIS
1412894290,29926,7715,SL-3 R/B,ROCKET BODY,637.0,0.0003729168,602.355,956.09,98.2973,832.737,905.134,81.2207,CIS
1412368001,29926,7715,SL-3 R/B,ROCKET BODY,773.0,0.0003313891,602.355,956.09,98.2973,832.737,905.134,81.2207,CIS
1411771954,37925,44889,OBJECT L,UNKNOWN,808.0,0.0001768861,581.857,652.656,99.0722,576.223,592.827,97.7548,TBD
1412910389,37925,44889,OBJECT L,UNKNOWN,914.0,0.0002654778,581.857,652.656,99.0722,576.223,592.827,97.7548,TBD
1413763974,31372,34302,COSMOS 2251 DEB,DEBRIS,254.0,0.0001440449,775.178,823.516,99.378,703.046,813.488,74.178,CIS
1412903875,31372,34302,COSMOS 2251 DEB,DEBRIS,286.0,0.0001607662,775.178,823.516,99.378,703.046,813.488,74.178,CIS
1414066587,31372,34302,COSMOS 2251 DEB,DEBRIS,282.0,0.0001010252,775.178,823.516,99.378,703.046,813.488,74.178,CIS
1414977972,35160,54289,CZ-6A DEB,DEBRIS,186.0,0.0002598675,644.773,896.252,99.1688,825.291,905.633,98.8488,PRC
1411769726,30053,36509,SL-24 R/B,ROCKET BODY,64.0,0.000859022,673.467,1147.56,98.592,715.325,1114.984,91.9288,CIS
1413768123,30053,36509,SL-24 R/B,ROCKET BODY,206.0,0.0009083134,673.467,1147.56,98.592,715.325,1114.984,91.9288,CIS
1414980728,30053,36509,SL-24 R/B,ROCKET BODY,250.0,0.0004695216,673.467,1147.56,98.592,715.325,1114.984,91.9288,CIS
1414070679,30053,36509,SL-24 R/B,ROCKET BODY,242.0,0.0006497084,673.467,1147.56,98.592,715.325,1114.984,91.9288,CIS
1412380333,30053,36509,SL-24 R/B,ROCKET BODY,315.0,0.0006313394,673.467,1147.56,98.592,715.325,1114.984,91.9288,CIS
1412908125,30053,36509,SL-24 R/B,ROCKET BODY,334.0,0.0006094428,673.467,1147.56,98.592,715.325,1114.984,91.9288,CIS
1415299795,30371,34497,IRIDIUM 33 DEB,DEBRIS,153.0,0.0001253904,784.431,792.612,98.5572,743.047,853.947,86.2799,US
1416553236,30371,34497,IRIDIUM 33 DEB,DEBRIS,144.0,0.0001961115,784.431,792.612,98.5572,743.047,853.947,86.2799,US
1416022377,30371,34497,IRIDIUM 33 DEB,DEBRIS,147.0,0.0001758064,784.431,792.612,98.5572,743.047,853.947,86.2799,US
1413765609,35240,4214,THORAD AGENA D DEB,DEBRIS,206.0,0.0001246008,775.603,844.33,99.3575,700.195,777.284,70.0494,US
1414978128,35240,4214,THORAD AGENA D DEB,DEBRIS,99.0,0.0001090024,775.603,844.33,99.3575,700.195,777.284,70.0494,US
1415300931,35240,4214,THORAD AGENA D DEB,DEBRIS,116.0,0.0001033157,775.603,844.33,99.3575,700.195,777.284,70.0494,US
1414068198,35240,4214,THORAD AGENA D DEB,DEBRIS,68.0,0.0001640908,775.603,844.33,99.3575,700.195,777.284,70.0494,US
1415294869,31487,30114,FENGYUN 1C DEB,DEBRIS,100.0,0.0001368634,812.219,986.814,102.4101,800.575,919.727,98.7493,PRC
1417023018,31487,30114,FENGYUN 1C DEB,DEBRIS,82.0,0.0003358789,812.219,986.814,102.4101,800.575,919.727,98.7493,PRC
